"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"69",716,970,1305,1859,2138,1876,0.175094816687737,0.320601851851852,0.262600726813083,1.42452107279693,0.24194016845774,-427.9046,3232.8594,-2003.377,16.67,1793,3.52040505409241,163.300750732422,-0.25,1.5,5,8,0.362857557717439
"70",868,1173,1640,2040,2135,1733,0.108695652173913,0.18618506795755,0.163021328623828,1.24390243902439,0.13112582781457,-539.5364,3600.9782,-1797.7678,0,1479,2.71992325782776,150.255111694336,-0.125,1.125,3,16,0.196662693682956
"71",748,934,1202,1613,2409,2002,0.146003552397869,0.319496268656716,0.218966435801811,1.34193011647255,0.334256438659651,-589.98,3100.4408,-2302.9915,16.67,1611,3.4389123916626,11.3099327087402,0.5,1.5,5,1,0.501315242973834
"72",669,931,1322,1922,2390,1982,0.184956843403206,0.310077519379845,0.277392510402219,1.45385779122542,0.287715517241379,-396.202,3325.6793,-2267.7257,11.33,1693,11.8048343658447,68.4985656738281,0.875,4.625,16,1,0.431515151515152
"73",864,1161,1533,1917,2684,2282,0.111304347826087,0.207075064710958,0.166932328648022,1.25048923679061,0.27294285036756,-728.5514,3680.4546,-2533.9977,36.67,1319,11.8048343658447,40.4260787963867,0.875,5.125,16,1,0.409365737996443
"74",873,1178,1519,2267,3033,2527,0.19756999471738,0.386803185437998,0.296315858972666,1.49242922975642,0.332601054481547,-560.2782,4047.6397,-2904.5891,38.66,1803,7.37130689620972,30.0685806274414,1.5,3.25,11,128,0.498846787479407
"75",1187,1595,1927,2267,2735,2551,0.0810681926561755,0.172501268391679,0.121587793539158,1.17644006227296,0.173316173316173,-998.0498,4420.0783,-2480.6592,29.34,1445,1.06752026081085,18.4349479675293,0.5,0.5,1,64,0.259946380697051
"76",776,886,1133,1549,2159,1745,0.155108128262491,0.411392405063291,0.232618825722274,1.36716681376876,0.311664641555286,-521.837,2921.6588,-1987.3067,35.34,1597,9.70292663574219,88.0250549316406,-0.5,3.75,15,32,0.467425968109339
"77",1404,1733,2220,2842,3361,2699,0.122876333465034,0.276051837386828,0.184296296296296,1.28018018018018,0.20444364809174,-906.5408,5233.8222,-2886.5952,4,1650,6.31755065917969,64.7988739013672,-0.25,2.75,9,1,0.30663800053749
"78",1255,1645,2183,2903,3740,3224,0.141565080613449,0.273161848395174,0.212326747272191,1.3298213467705,0.262873543812257,-913.425,5344.2869,-3515.9971,2.66,1790,1.96786379814148,59.0362548828125,-0.375,0.875,3,64,0.394277032160041
"79",899,1276,1618,1961,3068,2727,0.0958368259290305,0.1740233384069,0.143735158541696,1.21199011124845,0.309432351685873,-915.4148,3961.2349,-3022.1474,18.67,1910,0.954841256141663,135,0.375,0.375,1,4,0.464099007788328
"80",1785,2366,2837,3336,4164,3762,0.0808358982666451,0.178942838700423,0.121244026889123,1.17589002467395,0.189544350807028,-1494.2688,6559.1417,-3746.8318,21.33,1742,0,45,0,0,0,128,0.284296222238092
"81",1747,2270,2870,3215,3963,3490,0.056696795398521,0.117610963387196,0.0850382055706187,1.12020905923345,0.159959022391336,-1470.4624,6346.7135,-3482.3495,18,1546,6.52698659896851,101.888656616211,-1.5,3.75,10,4,0.239920977537133
"82",1725,2244,2869,3284,4159,3590,0.0674467739314156,0.137208225881108,0.101161940359145,1.14464970372952,0.183551508252703,-1436.4134,6436.9927,-3692.6679,29.34,1581,1.6876049041748,53.1301040649414,-0.125,0.625,2,1,0.275307675891015
"83",590,809,973,1482,2183,1835,0.207331975560081,0.439399171270718,0.310934636530238,1.52312435765673,0.38339670468948,-430.3768,2735.554,-2138.6488,42,1683,2.13429999351501,71.5650482177734,2,2,5,2,0.57500396008237
"84",546,784,999,1475,1961,1588,0.192400970088925,0.352592592592593,0.288543140028289,1.47647647647648,0.325,-353.1916,2625.0594,-1851.1599,49.34,1684,2.78188633918762,165.963760375977,1,1.25,4,8,0.487417665934808
"85",863,1155,1595,2133,2362,1783,0.14431330472103,0.257096435056867,0.216440927987126,1.33730407523511,0.19383371240839,-464.8428,3699.1361,-2001.1191,0,1424,0,45,0,0,0,64,0.290713834491472
"86",661,830,1106,1511,2386,1895,0.15475735575086,0.317348377997179,0.232091690544413,1.36618444846293,0.366552119129439,-522.6476,2897.2847,-2288.4866,13.34,1477,6.89389324188232,136.974945068359,0.125,2.875,10,16,0.54974946313529
"87",728,1059,1551,2162,2684,2091,0.164556962025316,0.254202030287902,0.246802208159418,1.39393939393939,0.267532467532468,-434.225,3738.7212,-2470.8999,0.67,1452,3.01696133613586,26.5650482177734,-0.5,1.25,4,1,0.401251328060442
"88",912,1329,1904,2662,3521,2789,0.166009636443276,0.261487512073962,0.248987189313479,1.39810924369748,0.298064516129032,-607.7988,4700.3378,-3313.9164,0,1432,0.754894495010376,63.4349365234375,-0.25,0.25,1,128,0.447055570915123
"89",1083,1491,2028,2630,3589,3012,0.129240017174753,0.225417509173968,0.193839218632607,1.29684418145957,0.277906355705893,-861.4742,4902.8313,-3396.974,0,1446,3.93109583854675,149.036239624023,1.125,1.875,6,8,0.416822429906542
"90",869,1232,1749,2405,3116,2390,0.157920077034184,0.256952604778692,0.236851606691539,1.37507146941109,0.280986639260021,-552.713,4250.6955,-2853.2324,0,1473,6.72136926651001,126.869903564453,0.625,2.625,9,4,0.421436645771247
"91",808,1157,1703,2442,3184,2414,0.178287092882992,0.279881836085442,0.267398383789651,1.43394010569583,0.30304890525885,-466.9604,4226.3744,-2951.9493,0.67,1712,21.1108837127686,74.0546035766602,0.125,8.875,29,1,0.454526854219949
"92",920,1257,1673,2157,3239,2850,0.126370757180157,0.228474320241692,0.189531392768568,1.28930065750149,0.318811074918567,-840.7152,4177.8932,-3199.4784,0.67,1614,12.9793500900269,32.4711923599243,-1.375,5.375,17,64,0.478167938931298
"93",964,1312,1847,2405,3355,2834,0.131232361241769,0.222914669223394,0.196825396825397,1.3021115322144,0.289888504421376,-780.0376,4480.058,-3223.6429,0,1448,2.56950283050537,156.801406860352,-0.375,1.125,4,8,0.434790965881788
"94",626,877,1296,2340,2578,1883,0.287128712871287,0.481372187384729,0.430633851230579,1.80555555555556,0.330924109447599,-38.1733999999999,3597.123,-2355.6497,0,2197,17.0357418060303,180,-1.375,7.875,27,8,0.496322106078204
"95",1240,1679,2208,2681,3611,3362,0.0967478011863367,0.178355957767722,0.145106861642295,1.21422101449275,0.241106719367589,-1119.666,5200.1004,-3500.8452,0,1308,3.64697051048279,33.690071105957,-0.25,1.5,4,1,0.361629005928344
"96",676,947,1217,2685,2878,2059,0.376217324449001,0.746238308255388,0.564253683536195,2.20624486442071,0.405616605616606,143.07,3948.887,-2635.9149,0,1928,15.7573003768921,28.7059555053711,-5.5,8,24,1,0.60835062873886
"97",863,1202,1724,2474,3463,2723,0.178656503096713,0.295438430631057,0.267952840300107,1.43503480278422,0.335261229998072,-576.5956,4407.4193,-3303.1663,0,1523,11.3719148635864,31.8274459838867,-0.875,4.875,17,1,0.502843373493976
"98",1339,1866,2328,2920,3759,3470,0.11280487804878,0.216168845395458,0.169191197484996,1.25429553264605,0.235091177920158,-1139.2146,5574.0357,-3579.1203,0,1610,3.38906717300415,84.2893981933594,-0.25,1.25,5,32,0.352607802874743
"99",826,1153,1554,2023,2724,2368,0.131115459882583,0.227537356879488,0.19664570230608,1.3018018018018,0.273492286115007,-672.323,3768.6528,-2613.6439,0.67,1551,40.1435127258301,177.597396850586,6.25,19.75,68,8,0.410190487320323
"100",1273,1709,2234,2853,3715,3360,0.121682720660507,0.230608747485284,0.182506142506142,1.27708146821844,0.248949403261052,-1035.3544,5377.1885,-3550.3296,0,1512,4.05866432189941,131.633544921875,1.625,1.875,6,32,0.373392722077485
"101",797,1169,1660,2518,3469,2497,0.205361416945907,0.329923863723756,0.308005265047266,1.51686746987952,0.352700331448625,-423.7284,4341.7759,-3213.4118,32.67,1781,7.33339262008667,105.945388793945,-0.25,3,10,4,0.528998927770738
