"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi","tndvi","lat"
"66",1221,1639,1982,2411,2794,2529,0.0976553608012748,0.2083940542116,0.146466370775009,1.21644803229062,0.17001675041876,-86.4798,4865.2327,1725.4635,25,1292,3.14159274101257,0.0333209969103336,41.8584072589874,0,0.75,2,4,0.254998429812624,54.8827680400637,2162141.40025972
"67",1186,1604,1981,2344,2655,2399,0.0839306358381503,0.170071214392804,0.125881400994105,1.18324078748107,0.145383951682485,-104.9372,4731.1495,1691.1111,0,1224,4.71238899230957,0.0499583967030048,40.2876110076904,-0.375,1.125,3,16,0.218052410223229,54.1965317919075,2158375.73745635
"68",1088,1501,1757,2177,2770,2496,0.106761565836299,0.230263157894737,0.160121997712543,1.2390438247012,0.223768500110448,-96.2717,4506.9535,1590.1149,15,1217,3.5682201385498,0.0503035522997379,41.4317798614502,0.625,1.125,4,8,0.335615681943678,55.338078291815,2157551.44562262
"69",1121,1611,1928,2477,2770,2463,0.124631101021566,0.24341580207502,0.186925434116445,1.2847510373444,0.179225202213708,26.0298,4818.5239,1734.4093,30,1276,3.92699074745178,0.00589248817414045,41.0730092525482,0.125,0.125,1,8,0.268809194423752,56.2315550510783,2165632.25382112
"70",828,1161,1252,2120,2549,2180,0.257413997627521,0.633946830265849,0.386063750926612,1.69329073482428,0.341225993159695,290.8107,3858.9626,1390.1059,40,1843,2.24945878982544,0.320434600114822,42.7505412101746,-4.25,7.5,29,1,0.511771669077996,62.870699881376,2174692.09570635
"71",980,1372,1618,2340,2970,2588,0.182415361293583,0.384124281762077,0.273588480485032,1.44622991347342,0.294681778552746,142.1472,4531.7132,1623.4236,0,1669,5.49778699874878,0.0940030366182327,39.5022130012512,0,2,8,32,0.441974501471069,59.1207680646791,2146355.20876659
"72",1163,1504,1756,2075,2239,1939,0.083268076220308,0.205039208124438,0.124885814954978,1.18166287015945,0.12090112640801,-109.1985,4170.2513,1555.3874,35,1277,4.22548961639404,0.0799764767289162,40.774510383606,-0.5,2,6,16,0.181328995119509,54.1634038110154,2155281.61401899
"73",958,1438,1728,2405,3152,2718,0.163803532542947,0.302826981570943,0.245675577597678,1.39178240740741,0.291803278688525,105.6428,4739.5377,1725.0044,30,1624,1.51821327209473,0.079110786318779,43.4817867279053,-0.25,1.75,5,1,0.437660075811904,58.1901766271474,2149164.04647264
"74",1240,1707,2063,2539,3178,2915,0.103433289873968,0.211819152723389,0.155133079847909,1.23073194377121,0.212745659225339,-102.7669,5224.4754,1810.8772,35,1397,5.81953763961792,0.0186317432671785,39.1804623603821,-0.5,0.5,1,128,0.3190880473147,55.1716644936984,2158440.10484212
"75",1383,2046,2342,2871,3569,3404,0.101477076539421,0.201862168968938,0.152201016591541,1.22587532023911,0.207579089832516,-165.9357,5974.1324,1990.7447,40,1379,3.14159274101257,0.0166651234030724,41.8584072589874,0.375,0.375,1,4,0.311342298908906,55.073853826971,2173242.1087065
"76",985,1291,1695,2138,2624,2325,0.115575267414558,0.225033018388703,0.173340289552628,1.26135693215339,0.215096087057189,3.76040000000017,4256.9622,1524.0767,10,1414,3.63893532752991,0.16443757712841,41.3610646724701,-1,4,12,8,0.322606783192499,55.7787633707279,2163256.23724448
"77",1061,1673,2119,2705,3384,2980,0.121475953565506,0.196314907872697,0.182195046118769,1.27654554034922,0.229874613846993,30.3271999999999,5379.3274,1942.694,0,1376,1.10714876651764,0.0186317432671785,43.8928512334824,-0.5,0.5,1,128,0.344780594167348,56.0737976782753,2112143.25335313
"78",971,1155,1248,2504,1688,1158,0.334754797441365,1.15845784910533,0.502065289806795,2.00641025641026,0.149863760217984,724.0578,3599.5845,1491.7098,0,1377,1.62955212593079,0.0708370506763458,43.3704478740692,-0.125,1.625,5,1,0.224757364209092,66.7377398720682,2089531.10282185
"79",1161,1536,1810,2239,2397,2166,0.105952086935046,0.244166192373364,0.158908507223114,1.23701657458564,0.139529355835512,-47.1188999999998,4408.7676,1573.5445,45,1362,5.81953763961792,0.0186317432671785,39.1804623603821,0.5,0.5,1,64,0.209269162210339,55.2976043467523,2093094.10798253
"80",646,961,1144,2315,2430,1782,0.338537149465163,0.675317185697809,0.507732331261743,2.0236013986014,0.35982092893117,642.0095,3662.0753,1503.6811,0,1512,0.170735210180283,0.122007139027119,44.8292647898197,-4.125,4.375,10,64,0.539655895929501,66.9268574732582,2146324.26496731
"81",722,965,1258,1982,2153,1651,0.223456790123457,0.43974732750243,0.335133467057553,1.57551669316375,0.262386396951041,326.9367,3434.3595,1380.6678,0,1365,1.60526537895203,0.12032113224268,43.394734621048,-3.75,3.75,9,128,0.393521911182764,61.1728395061728,2149468.02603943
"82",1002,1436,1924,2738,3429,3011,0.174603174603175,0.300679669030733,0.261876675603217,1.42307692307692,0.281150756585092,224.5366,5201.1537,1849.3981,25,1422,5.49778699874878,0.0647275745868683,39.5022130012512,-0.375,1.375,5,32,0.421686746987952,58.7301587301587,2107524.77385687
"83",527,757,833,1677,1893,1514,0.336254980079681,0.774738388103543,0.504282015534754,2.01320528211285,0.388848129126926,404.1136,2785.389,1058.7738,35,2190,4.58487939834595,0.316635936498642,40.4151206016541,-0.625,7.875,21,16,0.583165230148542,66.8127490039841,2102538.19889401
"84",1028,1364,1950,2637,2832,2393,0.149771092217135,0.259127942063971,0.224632152588556,1.35230769230769,0.18444165621079,236.8866,4804.078,1798.8497,0,1349,5.25280857086182,0.0242908541113138,39.7471914291382,0.375,0.625,2,64,0.276633559853633,57.4885546108568,2109192.51839108
"85",766,1061,1398,1787,1952,1689,0.122135007849294,0.219476416158881,0.183173756082248,1.27825464949928,0.165373134328358,63.3801000000003,3394.611,1253.7856,25,1407,0.702256917953491,0.0708370506763458,44.2977430820465,-0.5,2,7,128,0.248022683181615,56.1067503924647,2213647.6805907
"86",795,1093,1367,1851,2157,1785,0.150403977625855,0.295735060491262,0.225570918129563,1.35405998536942,0.224177071509648,101.9814,3519.6101,1342.6283,30,1328,1.05165016651154,0.0670846626162529,43.9483498334885,0.625,1.625,5,1,0.336217903248688,57.5201988812927,2182270.02714309
"87",1052,1476,1857,2234,2634,2326,0.0921535076998289,0.171769637324585,0.138213369180007,1.20301561658589,0.173012692050768,-62.9806,4495.53,1635.3256,20,1384,4.44613695144653,0.0474716164171696,40.5538630485535,0.25,1.25,4,8,0.259490148057442,54.6076753849915,2221604.62277674
"88",1023,1349,1490,2125,2348,2215,0.175656984785615,0.467806099896862,0.263449038860462,1.4261744966443,0.223553934340803,87.9945999999999,4056.5813,1350.6857,40,1724,2.35619449615479,0.0176758281886578,42.6438055038452,-0.375,0.375,1,8,0.335287221570926,58.7828492392808,2224137.43372874
"89",675,956,1110,2005,2005,1579,0.287319422150883,0.62092410156792,0.430909966297545,1.80630630630631,0.287319422150883,438.6747,3289.6475,1278.381,20,1878,4.32369947433472,0.441623359918594,40.6763005256653,-2.375,11.125,36,16,0.430909966297545,64.3659711075441,2093897.301995
"90",907,1432,1749,2859,3323,2643,0.240885416666667,0.423567122033122,0.361288922642942,1.63464837049743,0.310331230283912,476.5033,5035.0133,1963.2672,0,1646,1.57079637050629,0.0166651234030724,43.4292036294937,0.375,0.375,1,1,0.465450961064564,62.0442708333333,2027554.18728269
"91",1064,1625,2020,2625,2933,2770,0.130247578040904,0.223544191545965,0.195350339037778,1.29950495049505,0.184332727639814,58.9799,5070.1109,1710.9643,30,1466,4.71238899230957,8.88178419700125e-16,40.2876110076904,0,0,0,32,0.276471181992531,56.5123789020452,2003522.17053822
