"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir"
"60",1280,1705,1980,2179,2358,2107,0.0478480403943256,0.111547085201794,0.0717634331049405,1.10050505050505,0.0871369294605809,-236.8301,4537.0402,1664.1176,30,1315,0.0503035522997379,40.7142386436462,0.375,1.125,4,16
"61",768,1016,1279,2419,2594,1982,0.308274743104381,0.657591139824642,0.462349601189671,1.89132134480063,0.339530080041312,594.0282,3941.4429,1566.5326,15,1623,0.18893264234066,43.2318080663681,-1.375,4.625,13,1
"62",1050,1508,1675,2449,2890,2403,0.187681862269641,0.418378378378378,0.281488665292763,1.46208955223881,0.266155531215772,177.745,4629.0292,1746.7387,0,1517,0.0963458865880966,40.1579084396362,0.25,2.25,6,16
"63",1010,1350,1630,2292,2693,2445,0.168791432942376,0.367941307247666,0.253154875717017,1.40613496932515,0.24589405505436,120.1296,4388.2989,1514.8261,40,1768,0.0294542610645294,43.5711007118225,-0.125,0.625,2,1
"64",816,1076,1235,1991,2323,2018,0.234345939243645,0.575868372943327,0.351464435146444,1.61214574898785,0.305789769533446,246.0376,3629.8073,1291.8636,40,1836,0.0727582350373268,39.2572340965271,-0.125,1.625,6,32
"65",972,1313,1573,2124,2578,2379,0.149039761969164,0.322373040018722,0.223529411764706,1.3502860775588,0.24211033485907,40.9037000000002,4186.0895,1423.7412,35,1622,0.0294542610645294,44.2146018147469,-0.375,0.625,3,128
"66",956,1245,1488,1924,2486,2280,0.12778429073857,0.295954385012218,0.191648351648352,1.29301075268817,0.251132360342224,-39.9262999999997,3941.2318,1349.1113,20,1579,0.0448462851345539,43.8097100257874,-0.375,1.125,4,64
"67",1189,1625,1997,2661,2948,2642,0.142550450837269,0.289880380686283,0.21380272619942,1.33249874812218,0.192315470171891,97.3864000000004,5078.8184,1801.9098,20,1720,0.0841692388057709,39.9346208572388,-0.5,2,6,16
"68",869,1210,1412,2429,2707,2249,0.264774798229628,0.579883681149504,0.397110503709489,1.72025495750708,0.314396698227725,426.8815,4218.7439,1565.5696,40,1743,0.0300372242927551,42.8412010669708,0.125,0.625,2,4
"69",836,1210,1442,2359,2612,2248,0.241252302025783,0.483445803458456,0.361830856240958,1.63592233009709,0.288603848051307,361.915,4158.4787,1498.632,65,1732,0.0533088147640228,42.5331482887268,-0.25,1.25,5,2
"70",817,1138,1208,2429,2799,2182,0.33571624965631,0.859738065061259,0.503505154639175,2.01076158940397,0.397055153481408,565.8741,4078.8038,1589.6451,0,1710,0.0166651234030724,43.4292036294937,0.375,0.375,1,1
"71",817,1138,1208,2429,2799,2182,0.33571624965631,0.859738065061259,0.503505154639175,2.01076158940397,0.397055153481408,565.8741,4078.8038,1589.6451,0,1710,0.0166651234030724,43.4292036294937,0.375,0.375,1,1
"72",816,1137,1208,2293,2214,1783,0.309911453870323,0.792665108123904,0.46480079965729,1.89817880794702,0.293980128579778,515.9107,3725.4624,1413.3312,5,1696,0.0235658623278141,42.6438055038452,0.25,0.5,2,1
"73",1116,1486,1828,2362,2789,2514,0.12744630071599,0.269098971981455,0.191146641212266,1.29212253829322,0.208143816330951,12.728,4661.9468,1641.4138,20,1695,0.0343457013368607,43.1842249631882,-1.625,1.625,4,2
"74",666,886,944,1769,2389,1840,0.304091411721342,0.845633456334563,0.456053067993367,1.8739406779661,0.433543354335434,316.707,3211.5867,1276.7444,20,1729,0.00589248817414045,44.2146018147469,-1.75,1.75,4,1
"75",819,1242,1523,2279,2715,2335,0.198842714360863,0.35825988058004,0.298224852071006,1.49638870650033,0.281264747522416,239.5743,4219.3409,1533.8914,10,1675,0.343735635280609,42.0695006847382,-2.25,9,25,4
"76",974,1378,1637,2317,2627,2274,0.171977744056652,0.351602895553257,0.257933999241371,1.41539401343922,0.232176360225141,159.1168,4350.8061,1585.0516,5,1424,0.0506463386118412,43.2640550136566,0.5,1.25,3,1
"77",974,1378,1637,2317,2627,2274,0.171977744056652,0.351602895553257,0.257933999241371,1.41539401343922,0.232176360225141,159.1168,4350.8061,1585.0516,20,1424,0.0506463386118412,43.2640550136566,0.5,1.25,3,1
"78",928,1232,1510,1921,2115,1952,0.11979014864471,0.255469915464943,0.179659041235611,1.27218543046358,0.166896551724138,2.34460000000007,3749.0977,1299.8208,0,1320,0.198062047362328,41.7752661705017,-0.625,4.625,13,4
"79",1128,1517,1741,2293,2626,2478,0.136836886465047,0.322429906542056,0.205229892179948,1.31705916140149,0.202656285779711,-4.62169999999998,4530.4045,1521.1255,0,1534,0.0242908541113138,42.3988268375397,-0.375,0.625,2,2
"80",927,1206,1487,1959,2233,2118,0.136970400464306,0.300292658098995,0.205425794284056,1.31741761936785,0.200537634408602,27.3745000000003,3822.2862,1272.3587,30,1622,0.0591503791511059,42.544136762619,-0.25,1.25,5,2
"81",877,1206,1459,2227,2719,2315,0.208355941399891,0.435917811329322,0.312491523124915,1.52638793694311,0.301579703207276,233.6077,4147.6583,1515.2416,15,1767,0.129442989826202,42.553145647049,0.125,2.875,11,2
"82",895,1207,1459,1959,2302,2183,0.146284376828555,0.312382856428839,0.219394471259324,1.34270047978067,0.224142515288487,36.6522000000001,3837.2223,1270.1201,35,1592,0.0372505597770214,42.9655561447144,0.375,0.875,3,2
"83",907,1213,1462,1994,2674,2350,0.153935185185185,0.335477361584058,0.230869376536959,1.36388508891929,0.293036750483559,35.2732000000001,4018.5923,1429.3832,35,1754,0.0459898859262466,44.9093401134014,1.5,1.75,6,32
"84",925,1247,1435,2129,3138,2613,0.194725028058361,0.456278763971072,0.292046570346472,1.48362369337979,0.372403236387492,105.378,4304.5181,1605.0969,35,1716,0.078892856836319,43.7509542703629,-0.375,1.875,7,128
"85",859,1180,1465,1999,2379,2125,0.154157043879908,0.307073030477286,0.231202193678742,1.36450511945392,0.237773152965661,87.2361,3855.6167,1359.605,30,1753,0.146261930465698,41.3568031787872,-1.5,3.5,12,4
"86",889,1178,1408,1898,2146,1895,0.14821536600121,0.332925669248539,0.222289429910782,1.34801136363636,0.207653348339899,64.1321,3645.685,1308.2922,50,1700,0.0131753943860531,40.6093616485596,-0.75,0.75,1,16
"87",738,1075,1295,1999,2195,1896,0.213721918639951,0.415584415584416,0.320534223706177,1.54362934362934,0.257879656160458,253.1865,3583.1091,1296.5047,10,1796,0.0996686518192291,41.8584072589874,0,2.25,6,4
"88",845,1111,1353,1967,2149,1962,0.184939759036145,0.409497132186208,0.277367866285198,1.45380635624538,0.227298686464877,162.308,3634.4354,1248.4146,0,1754,0.0448462851345539,40.6681175231934,-0.5,1,3,16
"89",845,1111,1353,1967,2149,1962,0.184939759036145,0.409497132186208,0.277367866285198,1.45380635624538,0.227298686464877,162.308,3634.4354,1248.4146,0,1754,0.0448462851345539,40.6681175231934,-0.5,1,3,16
"90",845,1111,1353,1967,2149,1962,0.184939759036145,0.409497132186208,0.277367866285198,1.45380635624538,0.227298686464877,162.308,3634.4354,1248.4146,10,1754,0.0448462851345539,40.6681175231934,-0.5,1,3,16
"91",880,1181,1410,2100,2517,2190,0.196581196581197,0.435496086846756,0.29482979632531,1.48936170212766,0.281894576012223,181.5475,3946.0056,1413.7213,30,1782,0.0353406183421612,42.6438055038452,0,0.75,2,4
"92",844,1110,1410,1901,2451,2193,0.148293566898218,0.304439484126984,0.222406764306206,1.34822695035461,0.26961926961927,48.8802000000001,3774.9556,1319.7653,35,1762,0.0784551426768303,41.2998080253601,0.25,1.75,7,8
"93",859,1180,1410,2002,2521,2193,0.173505275498241,0.368113418729014,0.26021978021978,1.41985815602837,0.282625286186721,106.9507,3886.9782,1398.1262,65,1768,0.0816798806190491,40.0302872657776,1.25,2.25,8,32
"94",934,1212,1495,1971,2502,2397,0.13733410271206,0.302260604521209,0.20597144093466,1.31839464882943,0.251938954215662,-10.1477999999999,3985.8088,1290.8265,45,1603,0.0499583967030048,40.2876110076904,0.375,1.125,3,16
"95",708,935,1126,1843,2464,2175,0.241495453014483,0.54483282674772,0.362182185553123,1.63676731793961,0.372701949860724,216.6925,3484.1422,1202.6158,30,2276,0.0555331110954285,38.9436135292053,-0.875,1.625,6,32
"96",708,935,1126,1843,2464,2175,0.241495453014483,0.54483282674772,0.362182185553123,1.63676731793961,0.372701949860724,216.6925,3484.1422,1202.6158,60,2276,0.0555331110954285,38.9436135292053,-0.875,1.625,6,32
"97",830,1079,1326,1903,2268,2032,0.178693093837101,0.396836313617607,0.267998142127264,1.43514328808446,0.262103505843072,126.1409,3619.7047,1261.1263,55,1743,0.0166651234030724,38.7168145179749,0.375,0.375,1,64
"98",926,1286,1526,2845,2593,2164,0.30176161061542,0.652066442554874,0.452590643943726,1.86435124508519,0.259043457149794,682.6446,4508.5999,1658.736,0,1789,8.88178419700125e-16,43.4292036294937,0,0,0,128
"99",926,1286,1526,2845,2593,2164,0.30176161061542,0.652066442554874,0.452590643943726,1.86435124508519,0.259043457149794,682.6446,4508.5999,1658.736,0,1789,8.88178419700125e-16,43.4292036294937,0,0,0,128
"100",845,1171,1325,2094,2385,2022,0.22491956712489,0.518543492919757,0.337330019008627,1.58037735849057,0.285714285714286,251.4184,3804.3713,1396.0664,0,1719,0.0186317432671785,42.9655561447144,-0.375,0.375,2,128
"101",845,1171,1325,2094,2385,2022,0.22491956712489,0.518543492919757,0.337330019008627,1.58037735849057,0.285714285714286,251.4184,3804.3713,1396.0664,0,1719,0.0186317432671785,42.9655561447144,-0.375,0.375,2,128
"102",882,1245,1443,2298,2501,2088,0.228548516439455,0.492284661446338,0.342776961111854,1.59251559251559,0.268255578093306,318.8611,4076.4374,1519.9387,0,1767,0.190067604184151,41.7716689109802,-0.875,4.375,12,4
"103",694,993,1150,2333,2336,1920,0.339649727246626,0.734053114916853,0.509401464044782,2.02869565217391,0.34021801491681,616.6523,3701.2513,1368.1101,45,1856,0.0784551426768303,43.9878029823303,0.125,1.875,6,128
"104",680,921,1033,2231,2454,1855,0.36703431372549,0.899399399399399,0.550467146576811,2.15972894482091,0.407513622024663,625.3557,3567.1582,1420.585,0,1849,0.109640583395958,43.9436550140381,-0.75,2.5,9,64
