"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"44",911,1246,1468,1977,2743,2372,0.147750362844702,0.321866700392058,0.221593382673052,1.34673024523161,0.30277843742579,5.70350000000019,4053.3078,1468.8515,20,1742,0.0799764767289162,38.8734164237976,-0.625,1.875,5,64,0.454113736198504
"45",1143,1527,1901,2353,2722,2442,0.106252938410907,0.217831325301205,0.159360676930309,1.23776959495003,0.17759030932295,-35.9243999999999,4682.1566,1670.145,20,1638,0.205395385622978,42.5019085407257,-0.625,4.625,18,4,0.266356656212826
"46",675,891,1034,1844,2349,1944,0.281445448227936,0.678051230537418,0.422094841063054,1.78336557059961,0.388708247117943,313.9524,3319.7331,1227.1538,30,1905,0.0317217446863651,44.5951082110405,-0.25,0.75,2,64,0.582976208068568
"47",1151,1593,1917,2435,3236,2881,0.119025735294118,0.244086325511262,0.178518093049971,1.27021387584768,0.255967397632447,-61.9752,5028.8237,1783.4129,20,1663,0.0784551426768303,42.4170067310333,-0.375,1.875,6,4,0.383913844959736
"48",801,1141,1322,2066,2796,2454,0.219598583234947,0.465990229237129,0.329349269588313,1.56278366111952,0.357940747935891,183.7918,3993.0621,1399.0414,20,1690,0.0424662828445435,43.6265991926193,-1.125,1.375,5,2,0.536845939055481
"49",1079,1570,1948,2336,3081,2909,0.0905695611577964,0.163506110408765,0.135838487571479,1.19917864476386,0.225293298866574,-141.9311,4922.8656,1647.734,20,1550,0.0176758281886578,42.6438055038452,0.375,0.375,1,1,0.337906352520131
"50",1571,2277,2863,3324,4061,3816,0.0745110716017456,0.132159853219425,0.111757575757576,1.16101990918617,0.173021374927787,-218.047199999999,6905.0427,2360.3386,30,1285,0.0300372242927551,42.8412010669708,0.125,0.625,2,4,0.259513322261535
"51",1340,1900,2304,2695,3418,3294,0.0782156431286257,0.151081916537867,0.117311731173117,1.16970486111111,0.194687172317372,-223.0044,5710.1025,1884.47,25,1266,0.0186317432671785,43.8928512334824,-0.5,0.5,1,128,0.292005242463958
"52",1119,1633,2057,2566,3239,3005,0.110101665585118,0.195273536407581,0.165134638261058,1.24744773942635,0.223187311178248,-51.1134,5220.9556,1781.0885,0,1371,1.77635683940025e-15,43.4292036294937,0,0,0,64,0.334749362786746
"53",1003,1504,1811,2570,3266,2879,0.173248116868295,0.320821709358357,0.259842519685039,1.41910546659304,0.286586566870199,146.6239,4989.4416,1771.0416,35,1819,0.140730187296867,43.4292036294937,0.375,3.125,11,1,0.429837518463811
"54",1308,1775,2061,2404,3312,3010,0.0768197088465846,0.172848216085467,0.115216661068189,1.16642406598738,0.232830820770519,-252.7499,5251.774,1837.7875,30,1225,0.0377128832042217,40.176953792572,0.125,0.875,3,32,0.349213734065321
"55",1463,2064,2395,2835,3554,3340,0.0841300191204589,0.176465869896527,0.126182965299685,1.18371607515658,0.194822659270466,-229.3167,5987.1452,2036.4933,25,1238,0.0558435767889023,39.8239636421204,0.5,1.25,5,32,0.292209429363812
"56",1362,1816,2013,2547,3209,2890,0.117105263157895,0.302652459759692,0.175638636114461,1.26527570789866,0.229031022596706,-118.4074,5275.6219,1858.8854,0,1334,0.0499583967030048,40.2876110076904,0.375,1.125,3,16,0.343513642891336
"57",1465,1959,2307,2529,3411,3270,0.0459057071960298,0.103073637292228,0.0688514421585858,1.0962288686606,0.193074501573977,-389.4892,5658.8148,1884.699,0,1285,0.0186317432671785,39.8239636421204,-0.5,0.5,1,64,0.289586430007869
"58",847,1225,1555,2201,2507,2193,0.17199148029819,0.311806158895646,0.257952881671769,1.41543408360129,0.234367306745446,182.649,4093.2079,1474.0139,0,1507,0.0529833734035492,42.6438055038452,0.125,1.125,5,2,0.351507692307692
"59",894,1190,1555,1970,2348,2032,0.117730496453901,0.225739773716275,0.176570699191604,1.26688102893891,0.203177043300026,24.8162000000003,3868.89,1421.739,15,1518,0.0416425801813602,40.2876110076904,-2.25,2.75,10,32,0.304726527475343
"60",1167,1607,1903,2253,2847,2605,0.0842155919153032,0.177863604024799,0.126308191988452,1.18392012611666,0.198736842105263,-166.2552,4740.6075,1657.2477,20,1490,0.0424662828445435,38.914210319519,0.125,1.125,3,64,0.298073886959267
