"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","split"
"57",1050,1508,1675,2449,2890,2403,0.187681862269641,0.418378378378378,0.281488665292763,1.46208955223881,0.266155531215772,177.745,4629.0292,1746.7387,0,1517,0.0963458865880966,40.1579084396362,0.25,2.25,6,16,TRUE
"58",1281,1679,1957,2548,3211,2826,0.13118756936737,0.315469200384328,0.196759516146932,1.30199284619315,0.242647058823529,-29.1236,5157.6343,1851.8932,20,1522,0.0715636238455772,39.6673617362976,0.375,1.625,5,32,TRUE
"59",1140,1545,1734,2484,2983,2534,0.177809388335704,0.432127218253054,0.266682470072301,1.43252595155709,0.264786940852237,132.6431,4774.7084,1764.2001,15,1511,0.111341014504433,39.8239636421204,0.625,2.625,9,32,TRUE
"60",859,1169,1344,2323,2092,1723,0.266975729479138,0.620326954758586,0.40040899795501,1.72842261904762,0.217694994179278,465.3662,3787.9715,1421.7429,15,1501,0.13280713558197,43.3667848110199,-8.875,8.875,24,2,TRUE
"61",1010,1350,1630,2292,2693,2445,0.168791432942376,0.367941307247666,0.253154875717017,1.40613496932515,0.24589405505436,120.1296,4388.2989,1514.8261,40,1768,0.0294542610645294,43.5711007118225,-0.125,0.625,2,1,TRUE
"62",906,1106,1262,1624,2578,2314,0.125433125433125,0.37676935886761,0.188117096830071,1.28684627575277,0.342708333333333,-124.3168,3612.7192,1243.3638,45,1527,0.00589248817414045,39.5022130012512,-0.125,0.125,1,128,TRUE
"63",1199,1657,1882,2725,3270,2870,0.182982418059475,0.41936125758631,0.27444384156267,1.44792773645058,0.269409937888199,161.4152,5220.4846,1863.0886,40,1523,0.0166651234030724,38.7168145179749,0.375,0.375,1,64,TRUE
"64",1083,1416,1628,2259,2971,2674,0.16233599176743,0.403917552170017,0.243472668810289,1.38759213759214,0.292020004348771,31.5493000000001,4550.1914,1573.8943,0,1514,0.0533088147640228,44.1039445996284,-1,1.75,5,128,TRUE
"65",1189,1625,1997,2661,2948,2642,0.142550450837269,0.289880380686283,0.21380272619942,1.33249874812218,0.192315470171891,97.3864000000004,5078.8184,1801.9098,20,1720,0.0841692388057709,39.9346208572388,-0.5,2,6,16,TRUE
"66",836,1210,1442,2359,2612,2248,0.241252302025783,0.483445803458456,0.361830856240958,1.63592233009709,0.288603848051307,361.915,4158.4787,1498.632,65,1732,0.0533088147640228,42.5331482887268,-0.25,1.25,5,2,TRUE
"67",817,1138,1208,2429,2799,2182,0.33571624965631,0.859738065061259,0.503505154639175,2.01076158940397,0.397055153481408,565.8741,4078.8038,1589.6451,0,1710,0.0166651234030724,43.4292036294937,0.375,0.375,1,1,TRUE
"68",816,1137,1208,2293,2214,1783,0.309911453870323,0.792665108123904,0.46480079965729,1.89817880794702,0.293980128579778,515.9107,3725.4624,1413.3312,50,1696,0.0235658623278141,42.6438055038452,0.25,0.5,2,1,TRUE
"69",1033,1423,1814,2418,2508,2304,0.142722117202268,0.27180271802718,0.214057885410514,1.3329658213892,0.160573808422027,125.474,4507.0631,1567.691,30,1737,8.88178419700125e-16,40.2876110076904,0,0,0,128,TRUE
"70",1116,1486,1828,2362,2789,2514,0.12744630071599,0.269098971981455,0.191146641212266,1.29212253829322,0.208143816330951,12.728,4661.9468,1641.4138,20,1695,0.0343457013368607,43.1842249631882,-1.625,1.625,4,2,TRUE
"71",1060,1560,1868,2718,3225,2731,0.185346707370257,0.355529529864481,0.277989752534612,1.45503211991435,0.266444139014333,232.4812,5093.9323,1887.9359,35,1640,0.0186317432671785,44.5363523960114,-0.125,0.375,2,128,TRUE
"72",859,1173,1494,2143,2458,2136,0.178443772339841,0.347765512806773,0.267628865979381,1.43440428380187,0.243927125506073,187.662,3978.609,1437.1872,20,1718,0.0377128832042217,43.3185464143753,0.125,0.875,3,2,TRUE
"73",1222,1627,1866,2414,2925,2733,0.12803738317757,0.308142150247413,0.192033640929798,1.29367631296892,0.221039448966813,-53.1130999999998,4885.9969,1652.0998,20,1596,0.137076154351234,42.2950344085693,-0.375,3.375,11,4,TRUE
"74",1068,1451,1724,2245,2669,2369,0.131267321743512,0.28438864628821,0.196876180879204,1.30220417633411,0.2151149556112,9.64749999999998,4442.0866,1588.8262,5,1585,0.0474716164171696,44.3389568328857,0.125,1.125,4,128,TRUE
"75",974,1378,1637,2317,2627,2274,0.171977744056652,0.351602895553257,0.257933999241371,1.41539401343922,0.232176360225141,159.1168,4350.8061,1585.0516,5,1424,0.0506463386118412,43.2640550136566,0.5,1.25,3,1,TRUE
"76",974,1378,1637,2317,2627,2274,0.171977744056652,0.351602895553257,0.257933999241371,1.41539401343922,0.232176360225141,159.1168,4350.8061,1585.0516,20,1424,0.0506463386118412,43.2640550136566,0.5,1.25,3,1,TRUE
"77",928,1232,1510,1921,2115,1952,0.11979014864471,0.255469915464943,0.179659041235611,1.27218543046358,0.166896551724138,2.34460000000007,3749.0977,1299.8208,0,1320,0.198062047362328,41.7752661705017,-0.625,4.625,13,4,TRUE
"78",1067,1374,1739,2191,2717,2380,0.11501272264631,0.244403590353628,0.172497137768732,1.25991949396205,0.219479353680431,-20.3439,4404.6788,1595.2273,0,1445,0.0353406183421612,44.2146018147469,-0.875,1.125,3,128,TRUE
"79",1271,1686,2077,2492,2832,2446,0.0908295031735609,0.191332411249424,0.136229346755663,1.1998074145402,0.153799144428601,-78.2936999999998,4986.7267,1855.4851,30,1499,0.433493793010712,41.622162103653,-4.25,11,31,4,TRUE
"80",1128,1517,1741,2293,2626,2478,0.136836886465047,0.322429906542056,0.205229892179948,1.31705916140149,0.202656285779711,-4.62169999999998,4530.4045,1521.1255,0,1534,0.0242908541113138,42.3988268375397,-0.375,0.625,2,2,TRUE
"81",768,1035,1178,1893,2210,1758,0.232823184630414,0.558244846970643,0.349177926094742,1.60696095076401,0.304604486422668,253.1751,3420.0253,1330.6891,25,1756,0.0956312716007233,40.8876614570618,-1,2.25,8,4,TRUE
"82",718,966,1121,1558,2118,1824,0.163120567375887,0.376724137931034,0.244635193133047,1.38983050847458,0.307811052794072,33.2130000000001,3143.7688,1141.1542,0,1785,0.107912488281727,40.2876110076904,-0.125,2.375,7,16,TRUE
"83",905,1280,1546,2228,2650,2349,0.180710121886592,0.361420243773185,0.271029275400715,1.44113842173351,0.263107721639657,161.1967,4219.0554,1490.4938,30,1751,0.110262058675289,43.7747592926025,0.125,2.625,9,128,TRUE
"84",872,1142,1406,2128,2674,2284,0.204301075268817,0.448447204968944,0.306408261423115,1.51351351351351,0.31078431372549,204.4686,4012.7152,1458.2394,30,1755,0.107753969728947,43.7022123336792,0.25,2.5,7,1,TRUE
"85",907,1213,1462,1994,2674,2350,0.153935185185185,0.335477361584058,0.230869376536959,1.36388508891929,0.293036750483559,35.2732000000001,4018.5923,1429.3832,35,1754,0.0459898859262466,44.9093401134014,1.5,1.75,6,32,TRUE
"86",958,1351,1576,2363,3045,2547,0.1997969027672,0.424487594390507,0.299657316918391,1.4993654822335,0.317896559186323,196.5221,4522.478,1685.2162,20,1724,0.15246656537056,44.1378299593925,-1.5,4,14,128,TRUE
"87",900,1174,1460,1859,2004,1727,0.120216932811088,0.257751937984496,0.180298237686399,1.27328767123288,0.157043879907621,31.1379999999999,3569.5528,1323.7301,5,1611,0.580735564231873,40.9921050071716,-1.375,14.625,56,8,TRUE
"88",859,1180,1465,1999,2379,2125,0.154157043879908,0.307073030477286,0.231202193678742,1.36450511945392,0.237773152965661,87.2361,3855.6167,1359.605,30,1753,0.146261930465698,41.3568031787872,-1.5,3.5,12,4,TRUE
"89",889,1178,1408,1898,2146,1895,0.14821536600121,0.332925669248539,0.222289429910782,1.34801136363636,0.207653348339899,64.1321,3645.685,1308.2922,50,1700,0.0131753943860531,40.6093616485596,-0.75,0.75,1,16,TRUE
"90",878,1077,1239,2000,2634,2257,0.234949058351343,0.667543859649123,0.352369192776663,1.61420500403551,0.360185902401239,206.4923,3802.4643,1362.3556,45,1768,0.0625570043921471,40.3541793823242,0.125,1.375,4,16,TRUE
"91",845,1111,1353,1967,2149,1962,0.184939759036145,0.409497132186208,0.277367866285198,1.45380635624538,0.227298686464877,162.308,3634.4354,1248.4146,0,1754,0.0448462851345539,40.6681175231934,-0.5,1,3,16,TRUE
"92",845,1111,1353,1967,2149,1962,0.184939759036145,0.409497132186208,0.277367866285198,1.45380635624538,0.227298686464877,162.308,3634.4354,1248.4146,0,1754,0.0448462851345539,40.6681175231934,-0.5,1,3,16,TRUE
"93",845,1111,1353,1967,2149,1962,0.184939759036145,0.409497132186208,0.277367866285198,1.45380635624538,0.227298686464877,162.308,3634.4354,1248.4146,0,1754,0.0448462851345539,40.6681175231934,-0.5,1,3,16,TRUE
"94",845,1111,1353,1967,2149,1962,0.184939759036145,0.409497132186208,0.277367866285198,1.45380635624538,0.227298686464877,162.308,3634.4354,1248.4146,10,1754,0.0448462851345539,40.6681175231934,-0.5,1,3,16,TRUE
"95",859,1180,1410,2002,2521,2193,0.173505275498241,0.368113418729014,0.26021978021978,1.41985815602837,0.282625286186721,106.9507,3886.9782,1398.1262,65,1768,0.0816798806190491,40.0302872657776,1.25,2.25,8,32,TRUE
"96",934,1212,1495,1971,2502,2397,0.13733410271206,0.302260604521209,0.20597144093466,1.31839464882943,0.251938954215662,-10.1477999999999,3985.8088,1290.8265,0,1603,0.0499583967030048,40.2876110076904,0.375,1.125,3,16,TRUE
"97",934,1212,1495,1971,2502,2397,0.13733410271206,0.302260604521209,0.20597144093466,1.31839464882943,0.251938954215662,-10.1477999999999,3985.8088,1290.8265,45,1603,0.0499583967030048,40.2876110076904,0.375,1.125,3,16,TRUE
