"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","tpi","tri","roughness","flowdir","satvi","tndvi","weights"
"28",1093,1470,1844,2541,3412,2861,0.158950969213227,0.322178053064621,0.238399270322654,1.37798264642082,0.298325722983257,-791.5464,4699.6583,-3205.3288,1.33,1694,16.6992435455322,4.97235822677612,0.5,2,7,64,0.447446019214306,57.9475484606613,0.292038101574358
"29",845,1224,1616,2208,3246,2801,0.154811715481172,0.265828468792097,0.232187214014904,1.36633663366337,0.335252982311806,-729.7266,4145.1317,-3207.1104,8.67,1506,135,0.337614715099335,-0.125,0.125,1,8,0.502827763496144,57.7405857740586,0.0808555170953149
"30",863,1219,1535,2201,3405,2793,0.178265524625268,0.337078651685393,0.267362505018065,1.43387622149837,0.378542510121458,-703.6902,4148.1275,-3328.4046,2.67,1439,90,0,0,0,0,64,0.567756299969639,58.9132762312634,0.114687065611727
"31",854,1229,1543,2031,2846,2460,0.136541689983212,0.249744114636643,0.204783885858162,1.31626701231367,0.296878560036455,-725.1846,3852.6616,-2733.1567,31.33,1631,90,5.08888754974322e-14,0,0,0,32,0.445267114705547,56.8270844991606,0.275667824067067
"32",820,1138,1509,2055,3065,2583,0.153198653198653,0.275201612903226,0.22976574554636,1.36182902584493,0.340183646698732,-687.0046,3877.548,-2996.4897,6,1524,78.690071105957,1.21711814403534,0.125,0.375,2,1,0.510219696141655,57.6599326599327,0.198502909067518
"33",752,1031,1235,1810,2771,2248,0.188834154351396,0.401424183189053,0.283204728287637,1.46558704453441,0.383424862705941,-576.9574,3412.5218,-2673.909,40.67,1560,168.690063476562,1.21711814403534,0.5,0.5,2,8,0.575065518532385,59.4417077175698,0.0435411077811754
"34",752,947,1183,1738,2804,2245,0.190003423485108,0.434000625586487,0.284956358035256,1.46914623837701,0.406571356909957,-573.6614,3315.766,-2724.9911,33.33,1538,116.565048217773,1.06752026081085,0.125,0.375,2,16,0.609780564263323,59.5001711742554,0.0403232055256599
"35",1444,1901,2412,2959,3827,3374,0.10184323217278,0.207134201757043,0.152750628316113,1.22678275290216,0.226799166533098,-1174.2312,5685.5124,-3533.8694,63.34,1593,161.565048217773,0.754894495010376,-0.25,0.25,1,16,0.340171488100008,55.092161608639,0.366155300674316
"36",514,666,858,1538,1949,1571,0.283806343906511,0.600282485875706,0.425620696849572,1.79254079254079,0.38867117919487,-187.7848,2550.1776,-1875.4363,41.34,1927,43.1523895263672,10.357310295105,1.5,4.5,15,128,0.582902938557435,64.1903171953255,0.18589737485488
"37",654,898,1156,1634,2354,1964,0.171326164874552,0.325968357883252,0.256943200143343,1.41349480968858,0.341310541310541,-498.8768,3030.7006,-2275.8316,21.47,1411,84.8055725097656,2.63502645492554,-0.25,1,3,1,0.51189289275032,58.5663082437276,0.0893286765822577
"38",1051,1425,1829,2346,3034,2649,0.123832335329341,0.23765744230946,0.185726260328104,1.28266812465828,0.247789430392762,-825.653,4404.8891,-2837.5717,0,1366,45,1.01275038719177,-0.375,0.375,1,128,0.371645933998149,56.1916167664671,0.125268335478263
"39",1348,1899,2344,2907,3970,3542,0.107217672824224,0.205115126785194,0.160811196800914,1.24018771331058,0.257522964840038,-1194.307,5647.2646,-3768.8283,0,1543,94.3987045288086,6.20105361938477,-0.25,2.5,9,1,0.386253860163117,55.3608836412112,0.0508424945631814
"40",669,874,1050,1795,2913,2769,0.261862917398946,0.605002436251421,0.392725355824987,1.70952380952381,0.470098410295231,-560.1838,3353.5449,-3136.4801,0,1891,110.556045532227,19.5957374572754,0.625,8.625,26,1,0.70505866027501,63.0931458699473,0.0464960256547769
"41",625,885,1086,1741,2579,2189,0.231694375663247,0.458619241002661,0.347480106100796,1.60313075506446,0.407366984993179,-442.7638,3149.7633,-2578.5756,31.33,1570,168.690063476562,3.64697051048279,1.5,2.25,5,4,0.610967125903697,61.5847187831624,0.0553893627227356
"42",670,964,1258,1914,2808,2456,0.206809583858764,0.369535826949076,0.31016548463357,1.5214626391097,0.381210034431874,-519.4236,3479.7898,-2841.1324,32,1508,149.036239624023,1.39176344871521,0.375,0.625,2,4,0.571744743637034,60.3404791929382,0.104214576397314
"43",617,881,1060,1708,2614,2160,0.234104046242775,0.47072497457504,0.35109264944916,1.61132075471698,0.422972237343495,-443.0332,3115.5601,-2597.1815,37.34,1464,45,0.337614715099335,0.125,0.125,1,128,0.634372023404545,61.7052023121387,0.122751458018316
"44",1160,1557,1998,2532,3382,3069,0.117880794701987,0.22934203745061,0.176801677519038,1.26726726726727,0.25724907063197,-975.1938,4838.2644,-3244.6213,34.66,1722,45,1.6876049041748,-0.375,0.625,3,32,0.385837747421243,55.8940397350993,0.128022356075962
"45",1116,1508,1906,2539,3359,2808,0.142407199100112,0.282286835533357,0.213586773141379,1.33210912906611,0.275973409306743,-827.1236,4725.1792,-3116.5531,4,1818,164.744888305664,2.71992325782776,0.25,1.25,4,2,0.413920805241667,57.1203599550056,0.11400942428985
"46",863,1116,1488,2332,2771,2264,0.220942408376963,0.440639031011799,0.331370239497448,1.56720430107527,0.301244423573609,-400.0494,3950.7609,-2577.5117,0.68,1697,78.6900634765625,3.64697051048279,-0.25,1.5,5,32,0.451813593144735,61.0471204188482,0.0447346130741969
"47",988,1178,1308,1908,2480,2049,0.186567164179104,0.639113762249681,0.279807243898648,1.45871559633028,0.309398099260824,-613.5854,3553.4328,-2238.049,42,1683,116.565048217773,2.13429999351501,2,2,5,2,0.46403589811271,59.3283582089552,0.153738638997663
"48",1061,1388,1931,2479,3039,2950,0.124263038548753,0.22427764590325,0.186373427049087,1.28379078197825,0.222937625754527,-848.9916,4575.4049,-2990.6907,0,1835,52.7651672363281,7.45400953292847,-2,3.25,12,1,0.334372799517151,56.2131519274376,0.116263864003041
