"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","ds"
"52",886,1185,1561,1976,2631,2265,0.117331071529545,0.220838654746701,0.175971731448763,1.26585522101217,0.255248091603053,-710.3176,3735.0232,-2467.0256,2,1531,14.9627208709717,165.963760375977,-0.625,5.875,22,8,"BLM"
"53",822,1080,1400,1838,2805,2354,0.13526868437307,0.268777614138439,0.202871699861047,1.31285714285714,0.334126040428062,-702.101,3565.5224,-2710.9717,8.67,1414,2.05277514457703,170.537673950195,-0.5,0.75,3,8,"BLM"
"54",770,1031,1435,1805,2115,1849,0.114197530864198,0.19931049342814,0.171269865761457,1.25783972125436,0.191549295774648,-556.7674,3279.8866,-1935.5466,3.33,1514,3.05436992645264,173.659805297852,-1,1.25,5,8,"BLM"
"55",717,1025,1294,1944,2502,2179,0.200741198270537,0.375158720997345,0.301065308012969,1.50231839258114,0.318229715489989,-472.0062,3441.5473,-2427.7335,28.67,2289,13.9195909500122,161.995834350586,-1.75,6,21,8,"BLM"
"56",856,1099,1450,1874,2353,2070,0.127557160048135,0.25511432009627,0.191306963453151,1.29241379310345,0.237444123060742,-632.2762,3481.1206,-2193.1338,0,1459,3.10963296890259,167.47119140625,-0.25,1.25,4,8,"BLM"
"57",802,1070,1451,1914,2705,2300,0.137592867756315,0.251302648719062,0.206358639132373,1.31909028256375,0.301732435033686,-645.541,3595.802,-2603.2713,0,1540,7.74697351455688,175.030258178711,-0.25,3,12,8,"BLM"
"58",577,799,1095,1527,2157,2024,0.164759725400458,0.286434159925739,0.247092469018112,1.39452054794521,0.326568265682657,-495.7996,2830.1493,-2211.9522,8.67,1693,11.8048343658447,68.4985656738281,0.875,4.625,16,1,"BLM"
"59",817,1095,1447,1907,2847,2442,0.137149672033393,0.257703081232493,0.205693844090028,1.3178991015895,0.326036329762459,-703.2532,3659.7601,-2779.6508,22,1551,10.1604080200195,62.5924224853516,0.875,4.375,15,2,"BLM"
"60",932,1273,1786,2323,2848,2377,0.130688732051594,0.221900826446281,0.196009246867015,1.3006718924972,0.229175658178679,-652.3844,4183.399,-2618.4019,1.33,1396,0,45,0,0,0,128,"BLM"
"61",650,839,1065,1738,2894,2578,0.240099892971816,0.517055931161647,0.360085607276618,1.63192488262911,0.461985349835817,-537.2736,3264.1998,-3033.9073,4.67,1719,1.06752026081085,161.565048217773,-0.5,0.5,1,4,"BLM"
"62",751,975,1303,1697,2175,1933,0.131333333333333,0.253637182953521,0.196967172137977,1.30237912509593,0.250718803910293,-569.205,3151.2343,-2062.8668,0,1576,5.32285261154175,145.304840087891,-0.5,2.25,7,8,"BLM"
"63",666,876,1084,1671,2250,1854,0.213067150635209,0.461332914177931,0.319542732716385,1.54151291512915,0.349730053989202,-405.0686,2982.5704,-2143.021,82.67,1741,11.3338165283203,91.6846923828125,0.25,4.25,17,32,"BLM"
"64",702,923,1143,1389,1682,1607,0.0971563981042654,0.206168286959437,0.145705824284304,1.21522309711286,0.190796460176991,-578.3788,2671.3848,-1570.1297,36,1536,1.6876049041748,90,-1.125,1.125,3,16,"BLM"
"65",709,925,1176,1526,2436,2111,0.129533678756477,0.267952840300107,0.194264569842738,1.29761904761905,0.348837209302326,-651.8278,3035.7921,-2402.6021,12,1611,3.4389123916626,11.3099327087402,0.5,1.5,5,1,"BLM"
