"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","split"
"51",1242,1658,1888,2336,3073,2917,0.106060606060606,0.257471264367816,0.15907207953604,1.23728813559322,0.238863132432977,-164.4216,4958.9561,1641.7093,20,1238,0.0300372242927551,39.304817199707,0.5,0.75,3,32,FALSE
"52",1224,1622,1829,2265,2907,2683,0.106497313141182,0.268472906403941,0.159726462327513,1.23838162930563,0.227618243243243,-144.848,4761.2086,1634.2185,20,1326,0.128917276859283,39.5022130012512,0.125,2.875,13,32,FALSE
"53",937,1201,1342,1792,2259,1828,0.143586470963625,0.399290150842946,0.215345350135588,1.33532041728763,0.254651485698417,8.06519999999995,3587.6129,1394.921,5,1314,0.198891684412956,44.4808539152145,-3.5,4.5,17,1,FALSE
"54",662,967,1005,1589,1883,1462,0.225134926754048,0.549905838041431,0.337637309693583,1.58109452736318,0.304016620498615,176.0545,2929.6799,1169.7553,20,1889,0.376966148614883,39.5767016410828,2.75,9.75,35,32,FALSE
"55",728,1072,1204,2361,2623,1987,0.324544179523142,0.701042171594765,0.486748001682793,1.9609634551495,0.370786516853933,574.8896,3892.039,1560.7629,10,1746,0.146261930465698,39.218418598175,1.875,3.625,14,32,FALSE
"56",1515,2017,2290,2681,3441,3219,0.0786562059947697,0.193200909180749,0.117972442924671,1.1707423580786,0.200837550165765,-277.398,5768.6453,1968.5251,20,1312,0.0186317432671785,43.8928512334824,0.5,0.5,1,1,FALSE
"57",1418,2051,2318,3079,3762,3414,0.14100426162683,0.299464819770187,0.211486799444187,1.32830025884383,0.2375,2.63050000000027,6152.1133,2143.8149,0,1336,0.0186317432671785,41.3947596549988,0.5,0.5,1,4,FALSE
"58",990,1299,1648,2019,2782,2670,0.101172620670848,0.206892705777381,0.151738241308793,1.2251213592233,0.255981941309255,-120.4479,4295.8421,1389.0773,20,1279,0.0186317432671785,41.3947596549988,0.5,0.5,1,16,FALSE
"59",1187,1573,1874,2252,2481,2310,0.0916141541444498,0.205680705190989,0.137404580152672,1.2017075773746,0.139380022962113,-103.7782,4531.6857,1572.967,20,1241,0.0117845674976707,44.2146018147469,0,0.25,2,128,FALSE
"60",1287,1710,1927,2350,2983,2699,0.0989010989010989,0.248210303954935,0.14833430742256,1.21951219512195,0.215071283095723,-162.9157,4941.0308,1739.8876,25,1308,0.0424662828445435,40.4850068092346,0.125,1.125,4,8,FALSE
"61",1287,1710,1927,2350,2983,2699,0.0989010989010989,0.248210303954935,0.14833430742256,1.21951219512195,0.215071283095723,-162.9157,4941.0308,1739.8876,0,1308,0.0424662828445435,40.4850068092346,0.125,1.125,4,8,FALSE
"62",1658,2193,2490,2915,3580,3285,0.0786308973172988,0.195997048515034,0.117935436129868,1.17068273092369,0.179571663920923,-272.3351,6174.4838,2162.2228,10,1322,0.0166651234030724,45,0.375,0.375,1,64,FALSE
"63",1412,1884,2181,2683,3373,3024,0.103207236842105,0.242277992277992,0.154794942954055,1.23016964695094,0.214620093626215,-139.8424,5567.0859,1977.753,15,1375,0.0300372242927551,39.6996083259583,0.5,0.75,3,32,FALSE
"64",1440,1917,2180,2782,3396,3056,0.121322047561467,0.297254592139048,0.181964735516373,1.27614678899083,0.218077474892396,-79.1567000000003,5657.366,1996.8797,25,1469,0.0526559092104435,39.9658603668213,0.25,1.25,4,16,FALSE
"65",1135,1416,1685,2258,2715,2345,0.145320821709358,0.371450797355115,0.217953594522632,1.34005934718101,0.234090909090909,41.8181000000001,4435.9846,1619.8068,40,1317,0.0176758281886578,41.0730092525482,-0.625,0.625,1,8,FALSE
"66",1098,1546,1794,2258,3017,2838,0.114511352418559,0.242272347535505,0.171745835903763,1.25863991081382,0.254209104136354,-113.9058,4750.5738,1583.0936,20,1359,0.0636516436934471,41.6610116958618,0.625,1.625,6,8,FALSE
"67",1097,1476,1765,2190,2786,2575,0.107458912768647,0.233336993521467,0.161167993932499,1.24079320113314,0.224346297517029,-95.7122999999999,4533.4718,1552.5282,5,1343,0.0372505597770214,42.3220548629761,-0.375,0.875,3,4,FALSE
"68",1107,1503,1785,2346,2726,2303,0.135802469135802,0.29498369965296,0.203679051192061,1.31428571428571,0.20860119707382,48.3886000000002,4565.9634,1714.6991,25,1408,0.0708370506763458,44.9412441775203,1.125,1.875,6,64,FALSE
"69",1355,1880,2122,2379,2656,2335,0.0570984225727616,0.129811092029498,0.0856381206264578,1.12111215834119,0.111762243616576,-242.3571,4963.9921,1841.3096,25,1514,0.181502908468246,41.9038305282593,1,4.5,13,2,FALSE
"70",1525,2183,2566,2910,3598,3410,0.0628195763330898,0.125191061940461,0.0942207614352232,1.13406079501169,0.167423750811162,-307.736,6216.6765,2114.6788,15,1282,0.0186317432671785,42.3220548629761,0.5,0.5,1,4,FALSE
